"ticker";"gics_sector_name";"description";"adjHolding";"adjMarketValue";"weightClose";"date"
YDUQ3 BS Equity;Consumer Discretionary;YDUQS Participacoes SA;1,749,537.0000000000000000;7,198,225.0500000000000000;0.2881656947914620;"2023-08-31"
CRFB3 BS Equity;Consumer Staples;Atacadao SA;3,124,727.0000000000000000;6,475,465.5000000000000000;0.2592315469360940;"2023-08-31"
AZUL4 BS Equity;Industrials;Azul SA;1,936,504.0000000000000000;5,667,585.6200000000000000;0.2268897869451030;"2023-08-31"
BRAP4 BS Equity;Materials;Bradespar SA;1,483,414.0000000000000000;6,741,493.6000000000000000;0.2698814184999950;"2023-08-31"
SOMA3 BS Equity;Consumer Discretionary;GRUPO DE MODA SOMA SA;2,889,041.0000000000000000;4,370,656.7900000000000000;0.1749699879952170;"2023-08-31"
RAIZ4 BS Equity;Energy;Raizen SA;7,095,082.0000000000000000;5,202,043.1700000000000000;0.2082527809294090;"2023-08-31"
CIEL3 BS Equity;Financials;Cielo SA;6,474,255.0000000000000000;4,864,560.9800000000000000;0.1947423962046220;"2023-08-31"
ARZZ3 BS Equity;Consumer Discretionary;Arezzo Industria e Comercio SA;359,135.0000000000000000;5,126,303.7600000000000000;0.2052207140581810;"2023-08-31"
SMTO3 BS Equity;Consumer Staples;Sao Martinho S/A;846,951.0000000000000000;6,180,701.1500000000000000;0.2474312804638050;"2023-08-31"
CMIN3 BS Equity;Materials;CSN Mineracao SA;6,566,552.0000000000000000;5,676,652.8700000000000000;0.2272527750953690;"2023-08-31"
IGTI11 BS Equity;Real Estate;Iguatemi SA;1,275,453.0000000000000000;5,306,930.3500000000000000;0.2124517170406680;"2023-08-31"
SLCE3 BS Equity;Consumer Staples;SLC Agricola SA;623,351.0000000000000000;5,063,910.2900000000000000;0.2027229236295530;"2023-08-31"
MRVE3 BS Equity;Consumer Discretionary;MRV Engenharia e Participacoes;2,266,110.0000000000000000;5,199,612.0600000000000000;0.2081554565893940;"2023-08-31"
IRBR3 BS Equity;Financials;IRB-Brasil Resseguros SA;481,868.0000000000000000;4,181,226.4600000000000000;0.1673865459272280;"2023-08-31"
USIM5 BS Equity;Materials;Usinas Siderurgicas de Minas G;3,030,730.0000000000000000;4,211,593.3300000000000000;0.1686022192538340;"2023-08-31"
PCAR3 BS Equity;Consumer Staples;Cia Brasileira de Distribuicao;933,575.0000000000000000;931,511.8000000000000000;0.0372911020687587;"2023-08-31"
LWSA3 BS Equity;Information Technology;Locaweb Servicos de Internet S;2,549,985.0000000000000000;3,641,404.0800000000000000;0.1457759002310810;"2023-08-31"
VIIA3 BS Equity;Consumer Discretionary;Via SA;9,280,373.0000000000000000;2,380,601.2800000000000000;0.0953023303811048;"2023-08-31"
BEEF3 BS Equity;Consumer Staples;Minerva SA/Brazil;1,531,031.0000000000000000;2,597,608.4400000000000000;0.1039897524333120;"2023-08-31"
GOLL4 BS Equity;Industrials;Gol Linhas Aereas Inteligentes;1,288,259.0000000000000000;1,829,237.6000000000000000;0.0732296531827199;"2023-08-31"
PETZ3 BS Equity;Consumer Discretionary;Pet Center Comercio e Particip;1,980,248.0000000000000000;2,191,857.3000000000000000;0.0877463648817480;"2023-08-31"
MRFG3 BS Equity;Consumer Staples;Marfrig Global Foods SA;1,756,340.0000000000000000;2,628,678.9500000000000000;0.1052335944970830;"2023-08-31"
DXCO3 BS Equity;Materials;Dexco SA;1,618,121.0000000000000000;2,601,566.4000000000000000;0.1041482009793680;"2023-08-31"
ALPA4 BS Equity;Consumer Discretionary;Alpargatas SA;1,194,391.0000000000000000;2,028,864.2200000000000000;0.0812212821261872;"2023-08-31"
EZTC3 BS Equity;Consumer Discretionary;Ez Tec Empreendimentos e Parti;555,295.0000000000000000;2,471,990.0900000000000000;0.0989608878375454;"2023-08-31"
CVCB3 BS Equity;Consumer Discretionary;CVC Brasil Operadora e Agencia;2,605,499.0000000000000000;1,305,120.5000000000000000;0.0522477351092379;"2023-08-31"
CASH3 BS Equity;Communication Services;Meliuz SA;401,645.0000000000000000;545,160.7900000000000000;0.0218243576343049;"2023-08-31"
