"date";"ticker";"field";"override";"override_period";"value";"extraction_date"
"2001-04-09";IBOV Index;CUR_MKT_CAP;;;221,213.95;"2023-08-21"
"2001-04-10";IBOV Index;CUR_MKT_CAP;;;225,177.05;"2023-08-21"
"2001-04-11";IBOV Index;CUR_MKT_CAP;;;221,863;"2023-08-21"
"2001-04-12";IBOV Index;CUR_MKT_CAP;;;224,208.01;"2023-08-21"
"2001-04-13";IBOV Index;CUR_MKT_CAP;;;224,208.01;"2023-08-21"
"2001-04-16";IBOV Index;CUR_MKT_CAP;;;217,942.59;"2023-08-21"
"2001-04-17";IBOV Index;CUR_MKT_CAP;;;217,588.08;"2023-08-21"
"2001-04-18";IBOV Index;CUR_MKT_CAP;;;225,933.75;"2023-08-21"
"2001-04-19";IBOV Index;CUR_MKT_CAP;;;218,011.26;"2023-08-21"
"2001-04-20";IBOV Index;CUR_MKT_CAP;;;208,317.52;"2023-08-21"
"2001-04-23";IBOV Index;CUR_MKT_CAP;;;212,706.5;"2023-08-21"
"2001-04-24";IBOV Index;CUR_MKT_CAP;;;216,459.63;"2023-08-21"
"2001-04-25";IBOV Index;CUR_MKT_CAP;;;219,056.78;"2023-08-21"
"2001-04-26";IBOV Index;CUR_MKT_CAP;;;226,946.75;"2023-08-21"
"2001-04-27";IBOV Index;CUR_MKT_CAP;;;228,851.6;"2023-08-21"
"2001-04-30";IBOV Index;CUR_MKT_CAP;;;228,283.84;"2023-08-21"
"2001-05-01";IBOV Index;CUR_MKT_CAP;;;228,283.84;"2023-08-21"
"2001-05-02";IBOV Index;CUR_MKT_CAP;;;228,028.38;"2023-08-21"
"2001-05-03";IBOV Index;CUR_MKT_CAP;;;230,713.87;"2023-08-21"
"2001-05-04";IBOV Index;CUR_MKT_CAP;;;229,325.45;"2023-08-21"
"2001-05-07";IBOV Index;CUR_MKT_CAP;;;226,788.52;"2023-08-21"
"2001-05-08";IBOV Index;CUR_MKT_CAP;;;225,099.67;"2023-08-21"
"2001-05-09";IBOV Index;CUR_MKT_CAP;;;227,534.75;"2023-08-21"
"2001-05-10";IBOV Index;CUR_MKT_CAP;;;231,342.76;"2023-08-21"
"2001-05-11";IBOV Index;CUR_MKT_CAP;;;225,918.04;"2023-08-21"
"2001-05-14";IBOV Index;CUR_MKT_CAP;;;221,462.42;"2023-08-21"
"2001-05-15";IBOV Index;CUR_MKT_CAP;;;222,051.37;"2023-08-21"
"2001-05-16";IBOV Index;CUR_MKT_CAP;;;228,135.97;"2023-08-21"
"2001-05-17";IBOV Index;CUR_MKT_CAP;;;230,079.35;"2023-08-21"
"2001-05-18";IBOV Index;CUR_MKT_CAP;;;231,216.11;"2023-08-21"
"2001-05-21";IBOV Index;CUR_MKT_CAP;;;234,177.86;"2023-08-21"
"2001-05-22";IBOV Index;CUR_MKT_CAP;;;232,431.54;"2023-08-21"
"2001-05-23";IBOV Index;CUR_MKT_CAP;;;232,204.99;"2023-08-21"
"2001-05-24";IBOV Index;CUR_MKT_CAP;;;229,561.58;"2023-08-21"
"2001-05-25";IBOV Index;CUR_MKT_CAP;;;225,823.54;"2023-08-21"
"2001-05-28";IBOV Index;CUR_MKT_CAP;;;224,518.14;"2023-08-21"
"2001-05-29";IBOV Index;CUR_MKT_CAP;;;226,771.99;"2023-08-21"
"2001-05-30";IBOV Index;CUR_MKT_CAP;;;228,393.09;"2023-08-21"
"2001-05-31";IBOV Index;CUR_MKT_CAP;;;231,954.76;"2023-08-21"
"2001-06-01";IBOV Index;CUR_MKT_CAP;;;233,214.95;"2023-08-21"
"2001-06-04";IBOV Index;CUR_MKT_CAP;;;238,399.37;"2023-08-21"
"2001-06-05";IBOV Index;CUR_MKT_CAP;;;240,291.91;"2023-08-21"
"2001-06-06";IBOV Index;CUR_MKT_CAP;;;238,181.64;"2023-08-21"
"2001-06-07";IBOV Index;CUR_MKT_CAP;;;238,865.91;"2023-08-21"
"2001-06-08";IBOV Index;CUR_MKT_CAP;;;236,924.7;"2023-08-21"
"2001-06-11";IBOV Index;CUR_MKT_CAP;;;234,273.5;"2023-08-21"
"2001-06-12";IBOV Index;CUR_MKT_CAP;;;232,902.8;"2023-08-21"
"2001-06-13";IBOV Index;CUR_MKT_CAP;;;236,592.78;"2023-08-21"
"2001-06-14";IBOV Index;CUR_MKT_CAP;;;236,592.78;"2023-08-21"
"2001-06-15";IBOV Index;CUR_MKT_CAP;;;231,616.61;"2023-08-21"
"2001-06-18";IBOV Index;CUR_MKT_CAP;;;224,758.16;"2023-08-21"
"2001-06-19";IBOV Index;CUR_MKT_CAP;;;226,217.47;"2023-08-21"
"2001-06-20";IBOV Index;CUR_MKT_CAP;;;230,155.8;"2023-08-21"
"2001-06-21";IBOV Index;CUR_MKT_CAP;;;231,226.75;"2023-08-21"
"2001-06-22";IBOV Index;CUR_MKT_CAP;;;229,945.26;"2023-08-21"
"2001-06-25";IBOV Index;CUR_MKT_CAP;;;227,671.67;"2023-08-21"
"2001-06-26";IBOV Index;CUR_MKT_CAP;;;226,479.14;"2023-08-21"
"2001-06-27";IBOV Index;CUR_MKT_CAP;;;223,699.99;"2023-08-21"
"2001-06-28";IBOV Index;CUR_MKT_CAP;;;223,925.28;"2023-08-21"
"2001-06-29";IBOV Index;CUR_MKT_CAP;;;226,842.6;"2023-08-21"
"2001-07-02";IBOV Index;CUR_MKT_CAP;;;224,772.34;"2023-08-21"
"2001-07-03";IBOV Index;CUR_MKT_CAP;;;220,346.98;"2023-08-21"
"2001-07-04";IBOV Index;CUR_MKT_CAP;;;216,710.02;"2023-08-21"
"2001-07-05";IBOV Index;CUR_MKT_CAP;;;217,510.26;"2023-08-21"
"2001-07-06";IBOV Index;CUR_MKT_CAP;;;217,053.09;"2023-08-21"
"2001-07-09";IBOV Index;CUR_MKT_CAP;;;217,053.08;"2023-08-21"
"2001-07-10";IBOV Index;CUR_MKT_CAP;;;213,499.39;"2023-08-21"
"2001-07-11";IBOV Index;CUR_MKT_CAP;;;217,349.97;"2023-08-21"
"2001-07-12";IBOV Index;CUR_MKT_CAP;;;219,156.58;"2023-08-21"
"2001-07-13";IBOV Index;CUR_MKT_CAP;;;219,948.98;"2023-08-21"
"2001-07-16";IBOV Index;CUR_MKT_CAP;;;215,571.46;"2023-08-21"
"2001-07-17";IBOV Index;CUR_MKT_CAP;;;219,454.45;"2023-08-21"
"2001-07-18";IBOV Index;CUR_MKT_CAP;;;214,531.7;"2023-08-21"
"2001-07-19";IBOV Index;CUR_MKT_CAP;;;214,110.85;"2023-08-21"
"2001-07-20";IBOV Index;CUR_MKT_CAP;;;218,856.33;"2023-08-21"
"2001-07-23";IBOV Index;CUR_MKT_CAP;;;219,974.59;"2023-08-21"
"2001-07-24";IBOV Index;CUR_MKT_CAP;;;216,730.76;"2023-08-21"
"2001-07-25";IBOV Index;CUR_MKT_CAP;;;219,687.46;"2023-08-21"
"2001-07-26";IBOV Index;CUR_MKT_CAP;;;218,388.81;"2023-08-21"
"2001-07-27";IBOV Index;CUR_MKT_CAP;;;220,281.62;"2023-08-21"
"2001-07-30";IBOV Index;CUR_MKT_CAP;;;217,887.59;"2023-08-21"
"2001-07-31";IBOV Index;CUR_MKT_CAP;;;219,596.52;"2023-08-21"
"2001-08-01";IBOV Index;CUR_MKT_CAP;;;218,397.13;"2023-08-21"
"2001-08-02";IBOV Index;CUR_MKT_CAP;;;217,953.58;"2023-08-21"
"2001-08-03";IBOV Index;CUR_MKT_CAP;;;219,678.67;"2023-08-21"
"2001-08-06";IBOV Index;CUR_MKT_CAP;;;221,813.15;"2023-08-21"
"2001-08-07";IBOV Index;CUR_MKT_CAP;;;221,657.07;"2023-08-21"
"2001-08-08";IBOV Index;CUR_MKT_CAP;;;221,381.31;"2023-08-21"
"2001-08-09";IBOV Index;CUR_MKT_CAP;;;219,768.77;"2023-08-21"
"2001-08-10";IBOV Index;CUR_MKT_CAP;;;221,414.27;"2023-08-21"
"2001-08-13";IBOV Index;CUR_MKT_CAP;;;219,144.08;"2023-08-21"
"2001-08-14";IBOV Index;CUR_MKT_CAP;;;221,020.89;"2023-08-21"
"2001-08-15";IBOV Index;CUR_MKT_CAP;;;219,580.02;"2023-08-21"
"2001-08-16";IBOV Index;CUR_MKT_CAP;;;217,943.42;"2023-08-21"
"2001-08-17";IBOV Index;CUR_MKT_CAP;;;210,426.46;"2023-08-21"
"2001-08-20";IBOV Index;CUR_MKT_CAP;;;210,748.1;"2023-08-21"
